#time    cd4 cd4i cd8    growth_f inflammatory_f virus_f
216.900000    139.000000 8.000000 1.000000    49411145.516763 38423.321919 0.100000
217.900000    139.000000 8.000000 1.000000    49411145.529563 38629.614840 0.100000
218.900000    140.000000 8.000000 1.000000    49411145.541494 38741.243105 0.100000
219.900000    141.000000 8.000000 1.000000    49411145.552615 38829.634168 0.100000
220.900000    141.000000 8.000000 1.000000    49411145.562981 39141.443055 0.100000
221.900000    141.000000 8.000000 1.000000    49411145.572642 39079.596622 0.100000
222.900000    142.000000 8.000000 1.000000    49411145.581648 38906.691269 0.100000
223.900000    142.000000 8.000000 1.000000    49411145.590044 38885.735648 0.100000
224.900000    142.000000 8.000000 1.000000    49411145.597871 38828.375608 0.100000
225.900000    143.000000 8.000000 1.000000    49411145.605167 38870.927085 0.100000
226.900000    144.000000 8.000000 1.000000    49411145.611967 39067.970680 0.100000
227.900000    144.000000 8.000000 1.000000    49411145.618307 39348.463930 0.100000
228.900000    145.000000 8.000000 1.000000    49411145.624217 39369.552682 0.100000
229.900000    145.000000 8.000000 1.000000    49411145.629727 39328.893305 0.100000
230.900000    146.000000 8.000000 1.000000    49411145.634864 39298.553714 0.100000
231.900000    146.000000 8.000000 1.000000    49411145.639653 39333.024609 0.100000
232.900000    147.000000 8.000000 1.000000    49411145.644117 39389.186943 0.100000
233.900000    147.000000 8.000000 1.000000    49411145.648279 39417.433995 0.100000
234.900000    148.000000 8.000000 1.000000    49411145.652159 39426.498587 0.100000
235.900000    148.000000 8.000000 1.000000    49411145.655777 39512.254328 0.100000
236.900000    148.000000 8.000000 1.000000    49411145.659150 39534.705716 0.100000
237.900000    148.000000 8.000000 1.000000    49411145.662294 39528.321063 0.100000
238.900000    148.000000 8.000000 1.000000    49411145.665226 39476.712731 0.100000
239.900000    149.000000 8.000000 1.000000    49411145.667959 39403.589273 0.100000
240.900000    150.000000 8.000000 1.000000    49411145.670507 39473.933760 0.100000
241.900000    151.000000 8.000000 1.000000    49411145.672883 39600.628949 0.100000
242.900000    151.000000 8.000000 1.000000    49411145.675098 39655.594804 0.100000
243.900000    151.000000 8.000000 1.000000    49411145.677164 39795.547045 0.100000
244.900000    151.000000 8.000000 1.000000    49411145.679090 39861.651470 0.100000
245.900000    151.000000 8.000000 1.000000    49411145.680886 39717.300046 0.100000
246.900000    152.000000 8.000000 1.000000    49411145.682561 39503.451209 0.100000
247.900000    153.000000 8.000000 1.000000    49411145.684121 39403.397970 0.100000
248.900000    153.000000 8.000000 1.000000    49411145.685577 39278.728486 0.100000
249.900000    153.000000 8.000000 1.000000    49411145.686934 39179.696553 0.100000
250.900000    155.000000 8.000000 1.000000    49411145.688200 39186.532812 0.100000
251.900000    155.000000 8.000000 1.000000    49411145.689380 39041.947355 0.100000
252.900000    155.000000 8.000000 1.000000    49411145.690481 39017.753865 0.100000
253.900000    157.000000 8.000000 1.000000    49411145.691506 39184.326130 0.100000
254.900000    157.000000 8.000000 1.000000    49411145.692464 39188.915167 0.100000
255.900000    157.000000 8.000000 1.000000    49411145.693356 39192.649449 0.100000
256.900000    157.000000 8.000000 1.000000    49411145.694187 39053.942302 0.100000
257.900000    158.000000 8.000000 1.000000    49411145.694964 39091.919236 0.100000
258.900000    158.000000 8.000000 1.000000    49411145.695687 39271.842470 0.100000
259.900000    158.000000 8.000000 1.000000    49411145.696362 39349.204768 0.100000
260.900000    158.000000 8.000000 1.000000    49411145.696991 39343.586357 0.100000
261.900000    159.000000 8.000000 1.000000    49411145.697577 39330.349963 0.100000
262.900000    160.000000 8.000000 1.000000    49411145.698125 39303.993455 0.100000
263.900000    160.000000 8.000000 1.000000    49411145.698635 39142.601856 0.100000
264.900000    160.000000 8.000000 1.000000    49411145.699110 39089.968971 0.100000
265.900000    161.000000 8.000000 1.000000    49411145.699554 38945.576275 0.100000
266.900000    161.000000 8.000000 1.000000    49411145.699968 38890.201788 0.100000
267.900000    161.000000 8.000000 1.000000    49411145.700354 38742.504919 0.100000
268.900000    162.000000 8.000000 1.000000    49411145.700714 38836.067960 0.100000
269.900000    162.000000 8.000000 1.000000    49411145.701049 38771.461422 0.100000
270.900000    162.000000 8.000000 1.000000    49411145.701362 38622.456769 0.100000
271.900000    162.000000 8.000000 1.000000    49411145.701654 38495.148158 0.100000
272.900000    163.000000 8.000000 1.000000    49411145.701926 38401.191827 0.100000
273.900000    163.000000 8.000000 1.000000    49411145.702180 38292.817282 0.100000
274.900000    163.000000 8.000000 1.000000    49411145.702416 38261.623705 0.100000
275.900000    163.000000 8.000000 1.000000    49411145.702637 38197.610185 0.100000
276.900000    163.000000 8.000000 1.000000    49411145.702843 38210.319025 0.100000
277.900000    163.000000 8.000000 1.000000    49411145.703035 38196.912603 0.100000
278.900000    163.000000 8.000000 1.000000    49411145.703214 38034.820166 0.100000
279.900000    163.000000 8.000000 1.000000    49411145.703381 37908.961000 0.100000
280.900000    163.000000 8.000000 1.000000    49411145.703537 37922.194592 0.100000
281.900000    163.000000 8.000000 1.000000    49411145.703682 37983.665348 0.100000
282.900000    163.000000 8.000000 1.000000    49411145.703818 37878.774707 0.100000
283.900000    163.000000 8.000000 1.000000    49411145.703944 38037.625527 0.100000
284.900000    164.000000 8.000000 1.000000    49411145.704062 38271.142439 0.100000
285.900000    164.000000 8.000000 1.000000    49411145.704172 38467.225226 0.100000
286.900000    164.000000 8.000000 1.000000    49411145.704274 38409.972405 0.100000
287.900000    164.000000 8.000000 1.000000    49411145.704370 38324.131658 0.100000
288.900000    164.000000 8.000000 1.000000    49411145.704459 38085.981247 0.100000
