#time    cd4 cd4i cd8    growth_f inflammatory_f virus_f
124.900000    117.000000 10.000000 1.000000    49411008.736271 49761.666296 0.100000
125.900000    118.000000 10.000000 1.000000    49411018.562856 49872.930857 0.100000
126.900000    119.000000 10.000000 1.000000    49411027.670995 49949.645887 0.100000
127.900000    119.000000 10.000000 1.000000    49411036.114445 50071.628449 0.100000
128.900000    119.000000 9.000000 1.000000    49411043.942822 49803.933494 0.100000
129.900000    119.000000 9.000000 1.000000    49411051.201941 49253.961293 0.100000
130.900000    119.000000 9.000000 1.000000    49411057.934115 48773.627178 0.100000
131.900000    118.000000 9.000000 1.000000    49411064.178422 48412.852757 0.100000
132.900000    118.000000 9.000000 1.000000    49411069.970979 48019.191219 0.100000
133.900000    117.000000 9.000000 1.000000    49411075.345147 47689.899184 0.100000
134.900000    117.000000 9.000000 1.000000    49411080.331767 47301.211176 0.100000
135.900000    118.000000 9.000000 1.000000    49411084.959356 46922.365601 0.100000
136.900000    118.000000 9.000000 1.000000    49411089.254271 46501.946925 0.100000
137.900000    118.000000 9.000000 1.000000    49411093.240895 46119.100455 0.100000
138.900000    118.000000 9.000000 1.000000    49411096.941781 45857.675229 0.100000
139.900000    119.000000 9.000000 1.000000    49411100.377789 45546.756759 0.100000
140.900000    121.000000 9.000000 1.000000    49411103.568226 45289.915781 0.100000
141.900000    121.000000 9.000000 1.000000    49411106.530960 45095.826514 0.100000
142.900000    121.000000 9.000000 1.000000    49411109.282526 44904.859402 0.100000
143.900000    122.000000 9.000000 1.000000    49411111.838239 44864.285975 0.100000
144.900000    122.000000 9.000000 1.000000    49411114.212274 44738.746827 0.100000
145.900000    123.000000 9.000000 1.000000    49411116.417758 44625.359375 0.100000
146.900000    124.000000 9.000000 1.000000    49411118.466854 44524.080201 0.100000
147.900000    124.000000 8.000000 1.000000    49411120.370831 44368.346776 0.100000
148.900000    124.000000 8.000000 1.000000    49411122.140123 43820.409787 0.100000
149.900000    124.000000 8.000000 1.000000    49411123.784403 43235.182269 0.100000
150.900000    124.000000 8.000000 1.000000    49411125.312640 42805.059356 0.100000
151.900000    125.000000 8.000000 1.000000    49411126.733139 42458.144423 0.100000
152.900000    125.000000 8.000000 1.000000    49411128.053606 42011.555708 0.100000
153.900000    125.000000 8.000000 1.000000    49411129.281186 41597.853323 0.100000
154.900000    125.000000 8.000000 1.000000    49411130.422499 41279.778384 0.100000
155.900000    125.000000 8.000000 1.000000    49411131.483693 40971.784289 0.100000
156.900000    125.000000 8.000000 1.000000    49411132.470465 40703.526614 0.100000
157.900000    125.000000 8.000000 1.000000    49411133.388099 40242.399800 0.100000
158.900000    126.000000 8.000000 1.000000    49411134.241504 39781.818917 0.100000
159.900000    126.000000 8.000000 1.000000    49411135.035229 39388.731531 0.100000
160.900000    126.000000 8.000000 1.000000    49411135.773498 39187.088454 0.100000
161.900000    126.000000 8.000000 1.000000    49411136.460233 39212.373740 0.100000
162.900000    126.000000 8.000000 1.000000    49411137.099068 39285.727870 0.100000
163.900000    127.000000 8.000000 1.000000    49411137.693386 39308.160380 0.100000
164.900000    127.000000 8.000000 1.000000    49411138.246324 39117.488424 0.100000
165.900000    127.000000 8.000000 1.000000    49411138.760791 38984.796546 0.100000
166.900000    127.000000 8.000000 1.000000    49411139.239494 38840.396449 0.100000
167.900000    128.000000 8.000000 1.000000    49411139.684943 38835.586037 0.100000
168.900000    128.000000 8.000000 1.000000    49411140.099472 38975.174342 0.100000
169.900000    128.000000 8.000000 1.000000    49411140.485250 38992.409484 0.100000
170.900000    129.000000 8.000000 1.000000    49411140.844290 39279.533266 0.100000
171.900000    129.000000 8.000000 1.000000    49411141.178462 39432.246652 0.100000
172.900000    129.000000 8.000000 1.000000    49411141.489504 39617.076056 0.100000
173.900000    129.000000 8.000000 1.000000    49411141.779030 39834.983183 0.100000
174.900000    129.000000 8.000000 1.000000    49411142.048545 39975.885107 0.100000
175.900000    129.000000 8.000000 1.000000    49411142.299442 40102.644308 0.100000
176.900000    129.000000 8.000000 1.000000    49411142.533016 40200.682386 0.100000
177.900000    129.000000 8.000000 1.000000    49411142.750477 40089.200373 0.100000
178.900000    129.000000 8.000000 1.000000    49411142.952940 40257.040971 0.100000
179.900000    130.000000 8.000000 1.000000    49411143.141454 40061.377554 0.100000
180.900000    130.000000 8.000000 1.000000    49411143.316983 39813.277906 0.100000
181.900000    130.000000 8.000000 1.000000    49411143.480429 39698.309583 0.100000
182.900000    130.000000 8.000000 1.000000    49411143.632630 39525.018152 0.100000
183.900000    130.000000 8.000000 1.000000    49411143.774366 39430.270328 0.100000
184.900000    130.000000 8.000000 1.000000    49411143.906361 39340.827046 0.100000
185.900000    130.000000 8.000000 1.000000    49411144.029287 39335.706727 0.100000
186.900000    130.000000 8.000000 1.000000    49411144.143774 39149.162294 0.100000
187.900000    130.000000 8.000000 1.000000    49411144.250405 39031.945889 0.100000
188.900000    130.000000 8.000000 1.000000    49411144.349722 38965.302920 0.100000
189.900000    130.000000 8.000000 1.000000    49411144.442229 38976.917576 0.100000
190.900000    130.000000 8.000000 1.000000    49411144.528394 38934.840451 0.100000
191.900000    131.000000 8.000000 1.000000    49411144.608660 39096.479425 0.100000
192.900000    132.000000 8.000000 1.000000    49411144.683430 39085.251186 0.100000
193.900000    132.000000 8.000000 1.000000    49411144.753079 39063.921570 0.100000
194.900000    132.000000 8.000000 1.000000    49411144.817965 39078.357087 0.100000
195.900000    132.000000 8.000000 1.000000    49411144.878413 39030.392887 0.100000
196.900000    133.000000 8.000000 1.000000    49411144.934730 38897.065530 0.100000
197.900000    133.000000 8.000000 1.000000    49411144.987196 38948.932103 0.100000
198.900000    133.000000 8.000000 1.000000    49411145.036079 38874.142640 0.100000
199.900000    133.000000 8.000000 1.000000    49411145.081625 38723.448816 0.100000
200.900000    133.000000 8.000000 1.000000    49411145.124060 38728.968061 0.100000
201.900000    133.000000 8.000000 1.000000    49411145.163602 38650.058231 0.100000
202.900000    133.000000 8.000000 1.000000    49411145.200445 38735.034759 0.100000
203.900000    133.000000 8.000000 1.000000    49411145.234775 38679.237013 0.100000
204.900000    133.000000 8.000000 1.000000    49411145.266766 38618.787837 0.100000
205.900000    133.000000 8.000000 1.000000    49411145.296575 38552.972016 0.100000
206.900000    133.000000 8.000000 1.000000    49411145.324354 38695.075469 0.100000
207.900000    136.000000 8.000000 1.000000    49411145.350242 38662.081468 0.100000
208.900000    136.000000 8.000000 1.000000    49411145.374367 38609.649985 0.100000
209.900000    136.000000 8.000000 1.000000    49411145.396849 38728.987915 0.100000
210.900000    136.000000 8.000000 1.000000    49411145.417801 38669.542056 0.100000
211.900000    137.000000 8.000000 1.000000    49411145.437329 38658.570907 0.100000
212.900000    137.000000 8.000000 1.000000    49411145.455527 38562.174015 0.100000
213.900000    137.000000 8.000000 1.000000    49411145.472488 38494.385054 0.100000
214.900000    139.000000 8.000000 1.000000    49411145.488297 38429.615725 0.100000
215.900000    139.000000 8.000000 1.000000    49411145.503030 38443.174524 0.100000
216.900000    139.000000 8.000000 1.000000    49411145.516763 38384.849826 0.100000
217.900000    139.000000 8.000000 1.000000    49411145.529563 38268.668420 0.100000
218.900000    139.000000 8.000000 1.000000    49411145.541494 38287.807668 0.100000
219.900000    140.000000 8.000000 1.000000    49411145.552615 38338.018138 0.100000
220.900000    142.000000 8.000000 1.000000    49411145.562981 38435.916852 0.100000
221.900000    142.000000 8.000000 1.000000    49411145.572642 38416.997892 0.100000
222.900000    142.000000 8.000000 1.000000    49411145.581648 38490.148632 0.100000
223.900000    142.000000 8.000000 1.000000    49411145.590044 38697.903470 0.100000
224.900000    142.000000 8.000000 1.000000    49411145.597871 38891.460629 0.100000
225.900000    144.000000 8.000000 1.000000    49411145.605167 38944.740067 0.100000
226.900000    146.000000 8.000000 1.000000    49411145.611967 39188.199342 0.100000
227.900000    146.000000 8.000000 1.000000    49411145.618307 39220.138482 0.100000
228.900000    146.000000 8.000000 1.000000    49411145.624217 39175.492206 0.100000
229.900000    146.000000 8.000000 1.000000    49411145.629727 39243.970852 0.100000
230.900000    146.000000 8.000000 1.000000    49411145.634864 39227.310861 0.100000
231.900000    146.000000 8.000000 1.000000    49411145.639653 39247.619027 0.100000
232.900000    147.000000 8.000000 1.000000    49411145.644117 39243.350174 0.100000
233.900000    147.000000 8.000000 1.000000    49411145.648279 39184.280897 0.100000
234.900000    147.000000 8.000000 1.000000    49411145.652159 39138.016468 0.100000
235.900000    148.000000 8.000000 1.000000    49411145.655777 39095.513126 0.100000
236.900000    148.000000 8.000000 1.000000    49411145.659150 39067.172852 0.100000
237.900000    148.000000 8.000000 1.000000    49411145.662294 39141.130628 0.100000
238.900000    149.000000 8.000000 1.000000    49411145.665226 39073.196345 0.100000
239.900000    150.000000 8.000000 1.000000    49411145.667959 39164.009049 0.100000
240.900000    150.000000 8.000000 1.000000    49411145.670507 39133.030955 0.100000
241.900000    151.000000 8.000000 1.000000    49411145.672883 39056.144311 0.100000
242.900000    151.000000 8.000000 1.000000    49411145.675098 38958.533498 0.100000
243.900000    151.000000 8.000000 1.000000    49411145.677164 39077.643226 0.100000
244.900000    151.000000 8.000000 1.000000    49411145.679090 39193.117678 0.100000
245.900000    151.000000 8.000000 1.000000    49411145.680886 39482.855191 0.100000
246.900000    151.000000 8.000000 1.000000    49411145.682561 39577.336828 0.100000
247.900000    151.000000 8.000000 1.000000    49411145.684121 39467.081487 0.100000
248.900000    151.000000 8.000000 1.000000    49411145.685577 39379.626067 0.100000
249.900000    151.000000 8.000000 1.000000    49411145.686934 39416.901180 0.100000
250.900000    153.000000 8.000000 1.000000    49411145.688200 39387.224037 0.100000
251.900000    154.000000 8.000000 1.000000    49411145.689380 39461.976294 0.100000
252.900000    155.000000 7.000000 1.000000    49411145.690481 39315.199347 0.100000
